Label,Fwd IAT Min,Fwd IAT Max,Fwd IAT Sum,Fwd IAT Ave,Fwd IAT Std,Bwd IAT Min,Bwd IAT Max,Bwd IAT Sum,Bwd IAT Ave,Bwd IAT Std,Flow IAT Min,Flow IAT Max,Flow IAT Ave,Flow IAT Std,Fwd Flag Ack Num,Bwd Flag Ack Num,F/Bwd Flag Ack Ratio,Fwd Flag Ack Speed,Bwd Flag Ack Speed,Fwd Flag Cwr Num,Bwd Flag Cwr Num,F/Bwd Flag Cwr Ratio,Fwd Flag Cwr Speed,Bwd Flag Cwr Speed,Fwd Flag Ecn Num,Bwd Flag Ecn Num,F/Bwd Flag Ecn Ratio,Fwd Flag Ecn Speed,Bwd Flag Ecn Speed,Fwd Flag Fin Num,Bwd Flag Fin Num,F/Bwd Flag Fin Ratio,Fwd Flag Fin Speed,Bwd Flag Fin Speed,Fwd Flag Ns Num,Bwd Flag Ns Num,F/Bwd Flag Ns Ratio,Fwd Flag Ns Speed,Bwd Flag Ns Speed,Fwd Flag Push Num,Bwd Flag Push Num,F/Bwd Flag Push Ratio,Fwd Flag Push Speed,Bwd Flag Push Speed,Fwd Flag Res Num,Bwd Flag Res Num,F/Bwd Flag Res Ratio,Fwd Flag Res Speed,Bwd Flag Res Speed,Fwd Flag Reset Num,Bwd Flag Reset Num,F/Bwd Flag Reset Ratio,Fwd Flag Reset Speed,Bwd Flag Reset Speed,Fwd Flag Syn Num,Bwd Flag Syn Num,F/Bwd Flag Syn Ratio,Fwd Flag Syn Speed,Bwd Flag Syn Speed,Fwd Flag Urg Num,Bwd Flag Urg Num,F/Bwd Flag Urg Ratio,Fwd Flag Urg Speed,Bwd Flag Urg Speed,Fwd Pkt Len Min,Fwd Pkt Len Max,Fwd Pkt Len Sum,Fwd Pkt Len Ave,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Max,Bwd Pkt Len Sum,Bwd Pkt Len Ave,Bwd Pkt Len Std,Flow Pkt Len Min,Flow Pkt Len Max,Flow Pkt Len Ave,Flow Pkt Len Std,Fwd Pkt Num,Bwd Pkt Num,F/Bwd Pkt Ratio,Fwd Pkt Speed,Bwd Pkt Speed,Fwd Byte Num,Bwd Byte Num,F/Bwd Byte Ratio,Fwd Byte Speed,Bwd Byte Speed
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97.0,0.0,0,0,0,0.0,0.0,97,97,97.0,0.0,1,0,0,0.0,0.0,97,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.007012844,0.101562977,0.234361172,0.033480167,0.033829583,0.007012844,0.101562977,0.033480167,0.033829583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,816,102.0,0.0,102,102,102.0,0.0,0,8,0,0.0,34.13537235,0,816,0,0.0,3481.80798
Normal,0.0,0.0,0.0,0.0,0.0,0.007014036,0.101561785,0.23435998,0.033479997,0.033828995,0.007014036,0.101561785,0.033479997,0.033828995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,816,102.0,0.0,102,102,102.0,0.0,0,8,0,0.0,34.13551801,0,816,0,0.0,3481.822837
Normal,0.0,0.0,0.0,0.0,0.0,0.007675171,0.046875,0.179672956,0.025667565,0.017931463,0.007675171,0.046875,0.025667565,0.017931463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,816,102.0,0.0,102,102,102.0,0.0,0,8,0,0.0,44.52533213,0,816,0,0.0,4541.583877
Normal,0.0,0.0,0.0,0.0,0.0,0.007013083,0.046875,0.179672956,0.025667565,0.018182098,0.007013083,0.046875,0.025667565,0.018182098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,816,102.0,0.0,102,102,102.0,0.0,0,8,0,0.0,44.52533213,0,816,0,0.0,4541.583877
Normal,0.0,0.0,0.0,0.0,0.0,0.007013083,0.046875,0.179672956,0.025667565,0.018182105,0.007013083,0.046875,0.025667565,0.018182105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,816,102.0,0.0,102,102,102.0,0.0,0,8,0,0.0,44.52533213,0,816,0,0.0,4541.583877
Normal,0.0,0.0,0.0,0.0,0.0,0.007012844,0.046875,0.179672956,0.025667565,0.018182189,0.007012844,0.046875,0.025667565,0.018182189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,816,102.0,0.0,102,102,102.0,0.0,0,8,0,0.0,44.52533213,0,816,0,0.0,4541.583877
Normal,0.0,0.0,0.0,0.0,0.0,0.007013083,0.046875,0.09375,0.03125,0.021280671,0.007013083,0.046875,0.03125,0.021280671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,408,102.0,0.0,102,102,102.0,0.0,0,4,0,0.0,42.66666667,0,408,0,0.0,4352.0
Normal,0.0,0.0,0.0,0.0,0.0,0.03125,1.82814002,1.90626502,0.635421673,1.032953932,0.03125,1.82814002,0.635421673,1.032953932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,102,102,408,102.0,0.0,102,102,102.0,0.0,0,4,0,0.0,2.098344144,0,408,0,0.0,214.0311027
Normal,0.014622927,1.990601063,3.83336091,0.958340228,1.092037696,0.0,0.0,0.0,0.0,0.0,0.014622927,1.990601063,0.958340228,1.092037696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,25,5.0,0.0,0,0,0,0.0,0.0,5,5,5.0,0.0,5,0,0,1.304338412,0.0,25,0,0,6.521692061,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85,85,85,85.0,0.0,85,85,85.0,0.0,0,1,0,0.0,0.0,0,85,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43.0,0.0,0,0,0,0.0,0.0,43,43,43.0,0.0,1,0,0,0.0,0.0,43,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,4.460929871,4.460929871,4.460929871,4.460929871,0.0,4.460929871,4.460929871,4.460929871,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,68,68,136,68.0,0.0,68,68,68.0,0.0,0,2,0,0.0,0.448337006,0,136,0,0.0,30.48691641
Normal,0.016014099,1.865924835,4.539690971,0.412699179,0.546867469,0.0,0.0,0.0,0.0,0.0,0.016014099,1.865924835,0.412699179,0.546867469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,60,5.0,0.0,0,0,0,0.0,0.0,5,5,5.0,0.0,12,0,0,2.643351717,0.0,60,0,0,13.21675859,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85,85,85,85.0,0.0,85,85,85.0,0.0,0,1,0,0.0,0.0,0,85,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43.0,0.0,0,0,0,0.0,0.0,43,43,43.0,0.0,1,0,0,0.0,0.0,43,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85,85,85,85.0,0.0,85,85,85.0,0.0,0,1,0,0.0,0.0,0,85,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43.0,0.0,0,0,0,0.0,0.0,43,43,43.0,0.0,1,0,0,0.0,0.0,43,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97.0,0.0,0,0,0,0.0,0.0,97,97,97.0,0.0,1,0,0,0.0,0.0,97,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,85,85,85,85.0,0.0,85,85,85.0,0.0,0,1,0,0.0,0.0,0,85,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,43,43.0,0.0,0,0,0,0.0,0.0,43,43,43.0,0.0,1,0,0,0.0,0.0,43,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97.0,0.0,0,0,0,0.0,0.0,97,97,97.0,0.0,1,0,0,0.0,0.0,97,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97.0,0.0,0,0,0,0.0,0.0,97,97,97.0,0.0,1,0,0,0.0,0.0,97,0,0,0.0,0.0
Normal,0.039028883,1.59375,2.609359026,0.869786342,0.782842976,0.0,0.0,0.0,0.0,0.0,0.039028883,1.59375,0.869786342,0.782842976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,408,102.0,0.0,0,0,0,0.0,0.0,102,102,102.0,0.0,4,0,0,1.532943531,0.0,408,0,0,156.3602402,0.0
Normal,0.5,1.992187977,4.328125,1.442708333,0.820138916,0.0,0.0,0.0,0.0,0.0,0.5,1.992187977,1.442708333,0.820138916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,408,102.0,0.0,0,0,0,0.0,0.0,102,102,102.0,0.0,4,0,0,0.924187726,0.0,408,0,0,94.26714801,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97.0,0.0,0,0,0,0.0,0.0,97,97,97.0,0.0,1,0,0,0.0,0.0,97,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97.0,0.0,0,0,0,0.0,0.0,97,97,97.0,0.0,1,0,0,0.0,0.0,97,0,0,0.0,0.0
Normal,0.0,0.0,0.0,0.0,0.0,4.250015974,4.250015974,4.250015974,4.250015974,0.0,4.250015974,4.250015974,4.250015974,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,67,68,135,67.5,0.707106781,67,68,67.5,0.707106781,0,2,0,0.0,0.470586464,0,135,0,0.0,31.7645863
Normal,0.008044958,0.99882102,4.76887989,0.149027497,0.210092493,0.0,0.0,0.0,0.0,0.0,0.008044958,0.99882102,0.149027497,0.210092493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,165,5.0,0.0,0,0,0,0.0,0.0,5,5,5.0,0.0,33,0,0,6.919863784,0.0,165,0,0,34.59931892,0.0
