Session Key,Protocol,Src IP,Src Port,Dst IP,Dst Port,Init Ts,Last Ts,Ts,Duration,Mac Addr,Label,Fwd IAT Min,Fwd IAT Max,Fwd IAT Sum,Fwd IAT Ave,Fwd IAT Std,Bwd IAT Min,Bwd IAT Max,Bwd IAT Sum,Bwd IAT Ave,Bwd IAT Std,Flow IAT Min,Flow IAT Max,Flow IAT Ave,Flow IAT Std,Fwd Flag Ack Num,Bwd Flag Ack Num,F/Bwd Flag Ack Ratio,Fwd Flag Ack Speed,Bwd Flag Ack Speed,Fwd Flag Cwr Num,Bwd Flag Cwr Num,F/Bwd Flag Cwr Ratio,Fwd Flag Cwr Speed,Bwd Flag Cwr Speed,Fwd Flag Ecn Num,Bwd Flag Ecn Num,F/Bwd Flag Ecn Ratio,Fwd Flag Ecn Speed,Bwd Flag Ecn Speed,Fwd Flag Fin Num,Bwd Flag Fin Num,F/Bwd Flag Fin Ratio,Fwd Flag Fin Speed,Bwd Flag Fin Speed,Fwd Flag Ns Num,Bwd Flag Ns Num,F/Bwd Flag Ns Ratio,Fwd Flag Ns Speed,Bwd Flag Ns Speed,Fwd Flag Push Num,Bwd Flag Push Num,F/Bwd Flag Push Ratio,Fwd Flag Push Speed,Bwd Flag Push Speed,Fwd Flag Res Num,Bwd Flag Res Num,F/Bwd Flag Res Ratio,Fwd Flag Res Speed,Bwd Flag Res Speed,Fwd Flag Reset Num,Bwd Flag Reset Num,F/Bwd Flag Reset Ratio,Fwd Flag Reset Speed,Bwd Flag Reset Speed,Fwd Flag Syn Num,Bwd Flag Syn Num,F/Bwd Flag Syn Ratio,Fwd Flag Syn Speed,Bwd Flag Syn Speed,Fwd Flag Urg Num,Bwd Flag Urg Num,F/Bwd Flag Urg Ratio,Fwd Flag Urg Speed,Bwd Flag Urg Speed,Fwd Pkt Len Min,Fwd Pkt Len Max,Fwd Pkt Len Sum,Fwd Pkt Len Ave,Fwd Pkt Len Std,Bwd Pkt Len Min,Bwd Pkt Len Max,Bwd Pkt Len Sum,Bwd Pkt Len Ave,Bwd Pkt Len Std,Flow Pkt Len Min,Flow Pkt Len Max,Flow Pkt Len Ave,Flow Pkt Len Std,Fwd Pkt Num,Bwd Pkt Num,F/Bwd Pkt Ratio,Fwd Pkt Speed,Bwd Pkt Speed,Fwd Byte Num,Bwd Byte Num,F/Bwd Byte Ratio,Fwd Byte Speed,Bwd Byte Speed
ICMPv6 ::201:1:1:1 0 ::203:3:3:3 0 128 0,ICMPv6,::201:1:1:1,0,::203:3:3:3,0,44:09.7,44:14.7,1.6222E+15,4992000,"{'00:03:00:03:00:03:00:03', '00:01:00:01:00:01:00:01'}",Malicious,0,0,0,0,0,0.007335901,0.269999981,4.991999865,0.038697673,0.034775167,0.007335901,0.269999981,0.038697673,0.034775167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,9360,72,0,72,72,72,0,0,130,0,0,26.04166667,0,9360,0,0,1875
ICMPv6 ::201:1:1:1 0 ::203:3:3:3 0 129 0,ICMPv6,::201:1:1:1,0,::203:3:3:3,0,44:09.8,44:14.8,1.6222E+15,4991000,"{'00:03:00:03:00:03:00:03', '00:01:00:01:00:01:00:01'}",Malicious,0.005999804,0.259184122,4.990999937,0.035397163,0.038923251,0,0,0,0,0,0.005999804,0.259184122,0.035397163,0.038923251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,10224,72,0,0,0,0,0,0,72,72,72,0,142,0,0,28.45121218,0,10224,0,0,2048.487277,0
UDP ::201:1:1:1 5555 ::205:5:5:5 6666,UDP,::201:1:1:1,5555,::205:5:5:5,6666,44:10.0,44:10.1,1.6222E+15,122656,"{'00:05:00:05:00:05:00:05', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,0.122655869,0.122655869,0.122655869,0.122655869,0,0.122655869,0.122655869,0.122655869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,134,67,0,67,67,67,0,0,2,0,0,16.30576572,0,134,0,0,1092.486303
WPAN 0 0 0 0 0x00000002,WPAN,0,0,0,0,44:10.1,44:15.1,1.6222E+15,4987664,set(),Normal,0.003207922,0.094336033,4.987663984,0.017876932,0.01079988,0,0,0,0,0,0.003207922,0.094336033,0.017876932,0.01079988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1400,5,0,0,0,0,0,0,5,5,5,0,280,0,0,56.13850492,0,1400,0,0,280.6925246,0
UDP ::201:1:1:1 5555 ::206:6:6:6 6666,UDP,::201:1:1:1,5555,::206:6:6:6,6666,44:10.4,44:10.4,1.6222E+15,0,"{'00:06:00:06:00:06:00:06', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,67,0,67,67,67,0,0,1,0,0,0,0,67,0,0,0
UDP ::201:1:1:1 5555 ::202:2:2:2 6666,UDP,::201:1:1:1,5555,::202:2:2:2,6666,44:11.0,44:11.0,1.6222E+15,0,"{'00:02:00:02:00:02:00:02', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,67,67,67,0,67,67,67,0,0,1,0,0,0,0,67,0,0,0
ICMPv6 fe80::207:7:7:7 0 ff02::1a 0 155 1,ICMPv6,fe80::207:7:7:7,0,ff02::1a,0,44:11.5,44:11.5,1.6222E+15,0,"{'0x0000ffff', '00:07:00:07:00:07:00:07'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,0,0,0,0,0,0,97,97,97,0,1,0,0,0,0,97,0,0,0,0
UDP ::201:1:1:1 5555 ::204:4:4:4 6666,UDP,::201:1:1:1,5555,::204:4:4:4,6666,44:12.1,44:12.1,1.6222E+15,0,"{'00:04:00:04:00:04:00:04', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,0,68,68,68,0,0,1,0,0,0,0,68,0,0,0
ICMPv6 fe80::206:6:6:6 0 ff02::1a 0 155 1,ICMPv6,fe80::206:6:6:6,0,ff02::1a,0,44:13.5,44:13.5,1.6222E+15,0,"{'0x0000ffff', '00:06:00:06:00:06:00:06'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,0,0,0,0,0,0,97,97,97,0,1,0,0,0,0,97,0,0,0,0
UDP ::201:1:1:1 5555 ::20a:a:a:a 6666,UDP,::201:1:1:1,5555,::20a:a:a:a,6666,44:13.7,44:13.7,1.6222E+15,0,"{'00:0a:00:0a:00:0a:00:0a', '00:01:00:01:00:01:00:01'}",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,68,68,68,0,68,68,68,0,0,1,0,0,0,0,68,0,0,0
